,Title,Location,Price,Details,city_Abbottabad,city_Abdul_Hakim,city_Ahmedpur_East,city_Islamabad,city_Karachi,city_Lahore,city_Rawalpindi
0,5 Marla Brand New Modern Designer Bungalow For Sale Near To Park In Dha 9 Town,"DHA 9 Town, DHA Defence",0.06518151815181518,"NEW HIRA ESTATE OFFER
5 MARLA BRAND",0,0,0,0,0,1,0
1,1KANAL EYE CATCHING MOST AWAITED VICTORIAN BUNGALOW FOR SALE,"DHA Phase 5, DHA Defence",0.07095709570957096,LEADS ESTATES beautiful Elegant Mod,0,0,0,0,0,1,0
2,3 Years Installment Plus Cash Based 3 Marla Spanish House Near Thokar Niazbaig Lahore,"Thokar Niaz Baig, Lahore",0.0006518151815181519,Jazac City Lahore is ideally locate,0,0,0,0,0,1,0
3,5 Years Installment Base 3 Marla Beautiful House In Rehan garden phase 2 at main Ferozepur road Lahore.,"Ferozepur Road, Lahore",0.0007425742574257426,Rehan garden phase 2 Lahore is idea,0,0,0,0,0,1,0
4,05 MARLA BRAND NEW SUPER LUXURY HOUSE FOR SALE IN DHA PHASE 9.,"DHA 9 Town - Block A, DHA 9 Town",0.0007425742574257426,05 MARLA BRAND NEW SUPER LUXURY HOU,0,0,0,0,0,1,0
5,Modern Corner Style 10 Marla House With Extra Rooms In Phase 6,"DHA Phase 6, DHA Defence",0.0,"Amazing Woodwork, All Teak Wood Ash",0,0,0,0,0,1,0
6,Prime Location Lake City - Sector M7 - Block A House For sale Sized 9 Marla,"Lake City - Sector M7 - Block A, Lake City - Sector M-7",0.0,9 Marla brand new house for sale in,0,0,0,0,0,1,0
7,Kanal Single Storey Beautiful House For Sale In Chinar Bagh Lda Approved 50 Ft Rd Near Park Demand 280 Lac,"Chinar Bagh, Lahore",0.0,One kanal single storey beautiful h,0,0,0,0,0,1,0
8,One Kanal Corner Double Storey House For Sale In Chinar Bagh Housing Society Demand 450 Lac,"Chinar Bagh, Lahore",0.0,One kanal corner double storey hous,0,0,0,0,0,1,0
9,Elegant Design Brand New Bungalow,"DHA Phase 7, DHA Defence",0.0,1 Kanal Antique Design Kanal Brand,0,0,0,0,0,1,0
10,16 Marla Brand New Modern Designed Lavish House Servant Quarter Basements Very Cheapest Price,"State Life Phase 1 - Block B, State Life Housing Phase 1",0.06188118811881189,"HOME REAL ESTATE AND BUILDER

About",0,0,0,0,0,1,0
11,5 Marla Spanish House for sale,"Bedian Road, Lahore",0.0,"5 Marla Spanish House for sale 

Lo",0,0,0,0,0,1,0
12,Highly-coveted 5 Marla House Is Available In Kahna For sale,"Kahna, Lahore",0.020627062706270627,Know that this House right here is,0,0,0,0,0,1,0
13,5 Marla House For sale In Central Park Housing Scheme,"Central Park Housing Scheme, Lahore",0.0005363036303630363,We offer you just the right House t,0,0,0,0,0,1,0
14,Ideal House For sale In Central Park Housing Scheme,"Central Park Housing Scheme, Lahore",0.07013201320132013,Look no further as we have listed t,0,0,0,0,0,1,0
15,Stunning House Is Available For sale In Central Park Housing Scheme,"Central Park Housing Scheme, Lahore",0.0,The House you were looking for is n,0,0,0,0,0,1,0
16,Get In Touch Now To Buy A 3 Marla House In Kahna,"Kahna, Lahore",0.0,House for a comfortable living in t,0,0,0,0,0,1,0
17,brand new 10 marla first entery spanish leatest golden house available for sale in johertown with geniune orignal pics by fast property services real estate and builders .,"Johar Town, Lahore",0.000594059405940594,10 marla brand new luxery house wel,0,0,0,0,0,1,0
18,Buying A House In Marghzar Officers Colony Marghzar Officers Colony?,"Marghzar Officers Colony, Lahore",0.0,Owning a House like this one is a d,0,0,0,0,0,1,0
19,Prime Location,"Marghzar Officers Colony, Lahore",0.0,The House is beautifully designed f,0,0,0,0,0,1,0
20,Single Storey,"Marghzar Officers Colony, Lahore",0.0,The House is surrounded by all kind,0,0,0,0,0,1,0
21,Easy Installment Plan 1 Bed Apartment For Sale Located In Sector E Bahria Town Lahore,"Bahria Town - Sector E, Bahria Town",0.0,EASY INSTALLMENT PLAN 1 BED APARTME,0,0,0,0,0,1,0
22,1 Kanal Brand New Luxury Bungalow For Sale In DHA Phase 7 Near To Park,"DHA Phase 7 - Block S, DHA Phase 7",0.0005115511551155115,HOME REAL ESTATES beautiful Elegant,0,0,0,0,0,1,0
23,Full Furnished Most Antique Design Luxuy Palace,"DHA Phase 6, DHA Defence",0.0,1 Kanal Antique Design Kanal Brand,0,0,0,0,0,1,0
24,Brand New 1 Bed Apartmetn For Sale Located In Sector C Bahria Town Lahore,"Bahria Town - Sector C, Bahria Town",0.020627062706270627,Brand New 1 Bed Apartmetn For Sale,0,0,0,0,0,1,0
25,Brand New One Kanal House For Sale at Prime Location,"DHA Defence Phase 2, DHA Defence",0.0,Newly Constructed At A Very Peacefu,0,0,0,1,0,0,0
26,25x40 Brand New Triple Storey House Is Available For Sale In D-12 3 CDA transfer Gas Connection Available,"D-12/3, D-12",0.0,25x40 Brand New Triple Storey House,0,0,0,1,0,0,0
27,A Palatial Residence For sale In I-8/4 Islamabad,"I-8/4, I-8",0.06583333333333334,Triple Story House Is Available For,0,0,0,1,0,0,0
28,912 Square Feet Flat In I-16 For sale,"I-16, Islamabad",0.012376237623762377,"Flat For Sale In I_16
Size 912 Sqft",0,0,0,1,0,0,0
29,Park view city Islamabad 5 Marla villas Available on easy Monthly Installments,"Park View City, Islamabad",0.00041254125412541255,Park view city Islamabad 5 Marla vi,0,0,0,1,0,0,0
30,12 MARLA ELEGANT BRAND NEW DOUBLE STORY HOUSE FOR SALE,"CBR Town Phase 1 - Block C, CBR Town Phase 1",0.036295379537953795,12 marla brand new double story hou,0,0,0,1,0,0,0
31,"Ideal Prime Location 10 Marla House has landed on market in D-12, D-12","D-12, Islamabad",0.0,Brand New Designer Double Storey On,0,0,0,1,0,0,0
32,12 Marla House In G13,"G-13, Islamabad",0.0,"40*80 House For Sale In G13
brand N",0,0,0,1,0,0,0
33,2 Bed 2 Bath Flat For Sale First Floor Pha G-10,"G-10, Islamabad",0.010726072607260728,"2 bed
2 bath
Tv lounge
Kitchen
GAS",0,0,0,1,0,0,0
34,2 Bedroom Apartment Available In Eighteen - Golf Course View,"Eighteen, Kashmir Highway",0.0,Eighteen is a perfect residential s,0,0,0,1,0,0,0
35,Askari Tower 3 Brand- New Apartment For Sale In Dha Phase 3 Islamabad,"DHA Defence Phase 3, DHA Defence",0.012376237623762377,If you're looking for a luxurious a,0,0,0,1,0,0,0
36,One kanal Brand-new house for sale in DHA phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence",0.03217821782178218,If you're looking for a luxurious a,0,0,0,1,0,0,0
37,1 kanal House Available For sale in dha phase 2,"DHA Defence Phase 2, DHA Defence",0.0,"About the property
6)Bedrooms With",0,0,0,1,0,0,0
38,7 Marla Brand New 1.5 Storey house for sale in Jinnah Garden Phase 1 Islamabad,"Jinnah Gardens Phase 1, Jinnah Gardens",0.008250825082508252,"Welcome to your Dream home!
This be",0,0,0,1,0,0,0
39,D-17 MVHS 2 bed flat available for sale in main markaz,"D-17, Islamabad",0.0,D-17 MVHS 2 bed flat available for,0,0,0,1,0,0,0
40,D-17 MVHS main markaz 2 bed flat available for sale,"D-17, Islamabad",0.0,D-17 MVHS main markaz 2 bed flat av,0,0,0,1,0,0,0
41,D17/2 MVHS J7 Building 1 Bed Flat Available For Sale,"D-17, Islamabad",0.0004290429042904291,D17/2 MVHS J7 building 1 bed flat a,0,0,0,1,0,0,0
42,6.6 Corner Full House For Sale In Faisal Town Block A,"Faisal Town - F-18, Islamabad",0.0005363036303630363,2560 Corner Full House For Sale in,0,0,0,1,0,0,0
43,1 Bed Flat For Sale In Faisal Town Block A,"Faisal Town - F-18, Islamabad",0.0005775577557755776,1 Bed Flat For Sale in Faisal TOWN,0,0,0,1,0,0,0
44,D17/2 MVHS brand new MDR good location house available for sale,"D-17, Islamabad",0.0,D17/2 MVHS brand new MDR beautiful,0,0,0,1,0,0,0
